,Title,Tweet Counts
0,Controlled Substance Lock-In Programs: Examining An Unintended Consequence Of A Prescription Drug Abuse Policy,8
1,A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,99
2,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,513
3,Prescription Drug Monitoring Programs Are Associated With Sustained Reductions In Opioid Prescribing By Physicians,559112
4,"Individual Placement And Support Services Boost Employment For People With Serious Mental Illnesses, But Funding Is Lacking",4
5,Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,26
6,Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,43
7,An Electronic Health Recordâ€“Based Real-Time Analytics Program For Patient Safety Surveillance And Improvement,5
8,Legacy Healthâ€™s â€˜Big Aimsâ€™ Initiative To Improve Patient Safety Reduced Rates Of Infection And Mortality Among Patients,27
9,Medication Synchronization Programs Improve Adherence To Cardiovascular Medications And Health Care Use,22
10,The Large Social Value Resulting From Use Of Statins Warrants Steps To Improve Adherence And Broaden Treatment,2
11,An Integrated Pharmacy-Based Program Improved Medication Prescription And Adherence Rates In Diabetes Patients,48
12,The Effect Of The Hospital Readmissions Reduction Program On Readmission And Observation Stay Rates For Heart Failure,16912
13,Reducing Hospital Readmissions Through Preferred Networks Of Skilled Nursing Facilities,278
14,Hospitals With Higher Nurse Staffing Had Lower Odds Of Readmissions Penalties Than Hospitals With Lower Staffing,84
15,Association Of A Regional Health Improvement Collaborative With Ambulatory Careâ€“Sensitive Hospitalizations,8
16,Initiative To Reduce Avoidable Hospitalizations Among Nursing Facility Residents Shows Promising Results,193
17,Results From A Patient-Centered Medical Home Pilot At UPMC Health Plan Hold Lessons For Broader Adoption Of The Model,17
18,Home-Based Care Program Reduces Disability And Promotes Aging In Place,29
19,Advance Directives And Nursing Home Stays Associated With Less Aggressive End-Of-Life Care For Patients With Severe Dementia,1329
20,Integrated Telehealth And Care Management Program For Medicare Beneficiaries With Chronic Disease Linked To Savings,513
21,Remote Patient Management: Technology-Enabled Innovation And Evolving Business Models For Chronic Disease Care,471
22,What Works In Chronic Care Management: The Case Of Heart Failure,9
23,"How Kaiser Permanente Uses Video Ethnography Of Patients For Quality Improvement, Such As In Shaping Better Care Transitions",3
24,Coordination Program Reduced Acute Care Use And Increased Primary Care Visits Among Frequent Emergency Care Users,6
25,Healthy Aging Brain Center Improved Care Coordination And Produced Net Savings,0
26,Improving The Coordination Of Care For Medicaid Beneficiaries In Pennsylvania,609
27,The Effect Of A Newborn Telehealth Program On Transfers Avoided: A Multiple-Baseline Study,42
